epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3909.97,0.47819,0.5875,0.46982,0.90693,0,0.75162,0.80541,0.75862,0.66036,0.7615,0.81622,0.76739,0.59821,0.60699,0.5381,1.3438,1.06416,0,0.0008218,0.0008218,0.0008218
29,4047.63,0.48435,0.59075,0.4691,0.90755,0,0.7819,0.77514,0.81403,0.70183,0.75422,0.82315,0.82203,0.64689,0.56849,0.53668,1.12772,1.03009,0,0.0008152,0.0008152,0.0008152
30,4191.31,0.47542,0.58711,0.46757,0.90387,0,0.71867,0.85676,0.81989,0.70946,0.73262,0.87973,0.83399,0.65563,0.60827,0.53371,1.23947,1.07597,0,0.0008086,0.0008086,0.0008086
31,4332.01,0.4715,0.59563,0.44776,0.90705,0,0.75565,0.80878,0.78565,0.68062,0.75588,0.82635,0.79321,0.61389,0.54263,0.55429,1.31847,1.01407,0,0.000802,0.000802,0.000802
32,4474.19,0.47975,0.5996,0.46512,0.90615,0,0.77749,0.79595,0.80194,0.69899,0.77723,0.81567,0.81099,0.63545,0.58139,0.52918,1.21287,1.03637,0,0.0007954,0.0007954,0.0007954
33,4616.77,0.46335,0.57357,0.45098,0.90653,0,0.76468,0.78383,0.76045,0.65752,0.7678,0.80654,0.77322,0.60549,0.61834,0.54701,1.43384,1.06619,0,0.0007888,0.0007888,0.0007888
34,4763.96,0.4698,0.58701,0.44149,0.90467,0,0.75179,0.80068,0.76943,0.67224,0.73422,0.84741,0.78127,0.61533,0.54028,0.54937,1.29555,1.01702,0,0.0007822,0.0007822,0.0007822
35,4916.67,0.46234,0.57305,0.45125,0.9029,0,0.77254,0.78176,0.7707,0.66957,0.73244,0.86486,0.78446,0.61712,0.59079,0.53808,1.31659,1.04448,0,0.0007756,0.0007756,0.0007756
36,5059,0.45841,0.56625,0.43177,0.90066,0,0.77565,0.78108,0.77281,0.6729,0.74636,0.84502,0.78723,0.62464,0.57122,0.53595,1.1875,1.0461,0,0.000769,0.000769,0.000769
37,5202.94,0.45408,0.56375,0.42494,0.90042,0,0.78163,0.79662,0.79347,0.68578,0.78587,0.81959,0.80267,0.62914,0.57347,0.53795,1.20624,1.04951,0,0.0007624,0.0007624,0.0007624
38,5346.66,0.45856,0.58324,0.42813,0.89915,0,0.73296,0.84527,0.76803,0.66587,0.74781,0.85878,0.78042,0.61002,0.55666,0.54347,1.28917,1.03172,0,0.0007558,0.0007558,0.0007558
