x,y,theta
0.0,0.0,0.0
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0010471975511966436
0.0,0.0,0.0
0.0,0.0,6.281090912077193
0.0,0.0,6.278821984049601
0.0,0.0,6.276727588947208
0.0,0.0,6.274458660919614
0.0,0.0,6.271142535340825
0.0,0.0,6.268000942687236
0.0,0.0,6.265732014659643
0.0,0.0,6.264684817108447
0.0,0.0,6.261368691529658
0.0,0.0,6.259274296427264
0.0,0.0,6.257005368399671
0.0,0.0,6.255958170848475
0.0,0.0,6.254910973297278
0.0,0.0,6.252642045269686
0.0,0.0,6.251594847718489
0.0,0.0,6.2505476501672925
0.0,0.0,6.249325919690897
0.0,0.0,6.2482787221397
0.0,0.0,6.2482787221397
0.0,0.0,6.2505476501672925
0.0,0.0,6.257005368399671
0.0,0.0,6.268000942687236
0.0,0.0,6.279869181600797
0.0,0.0,0.007679448708775016
0.0,0.0,0.018500490071139963
